关卡牌局代码,地形编号,开始次数,净过关次数,在线胜率(%),模拟胜率(%),差值(sim-online),绝对差值,模拟胜利,模拟失败,模拟平均步数,耗时ms,地形总牌数
5-2-2-9-56717259,100002,39215,37582,95.84,100.00,4.16,4.16,200,0,39.0,80,39
7-3-7-13-1627787459,200012,34833,21463,61.62,96.00,34.38,34.38,192,8,54.0,170,54
5-7-9-14-284673124,200007,34618,30330,87.61,100.00,12.39,12.39,200,0,57.0,166,57
4-3-2-11-894424826,100008,34103,32053,93.99,100.00,6.01,6.01,200,0,42.0,64,42
5-3-2-8-2055937765,100009,33934,26729,78.77,96.00,17.23,17.23,192,8,42.0,103,42
6-5-8-8-1378250419,200003,33836,29429,86.98,100.00,13.02,13.02,200,0,42.0,100,42
5-9-3-10-474961651,100002,33621,31579,93.93,100.00,6.07,6.07,200,0,39.0,67,39
3-8-9-12-73570277,200004,33142,25011,75.47,99.50,24.03,24.03,199,1,48.0,131,48
3-6-3-11-1506752473,100010,32719,21741,66.45,97.50,31.05,31.05,195,5,54.0,173,54
2-5-7-12-20644418,100026,32706,27179,83.10,100.00,16.90,16.90,200,0,54.0,189,54
7-7-3-10-1569851149,200015,31924,29921,93.73,100.00,6.27,6.27,200,0,54.0,387,54
3-1-4-7-63798979,100040,29441,27411,93.10,100.00,6.90,6.90,200,0,48.0,547,48
5-2-8-6-1618774090,100040,28978,26074,89.98,100.00,10.02,10.02,200,0,48.0,441,48
9-5-9-12-852990572,200007,28915,20595,71.23,74.50,3.27,3.27,149,51,57.0,178,57
1-5-9-14-306970427,200012,28808,25337,87.95,100.00,12.05,12.05,200,0,54.0,219,54
3-5-4-11-283739285,100008,28787,25037,86.97,100.00,13.03,13.03,200,0,42.0,72,42
2-5-2-9-1418056602,100009,28302,21259,75.11,98.50,23.39,23.39,197,3,42.0,94,42
5-8-4-10-2065905104,200003,28236,23693,83.91,100.00,16.09,16.09,200,0,42.0,76,42
1-8-9-14-815256076,200015,27739,24348,87.78,100.00,12.22,12.22,200,0,54.0,336,54
8-9-7-9-1220514995,200004,26996,24004,88.92,97.00,8.08,8.08,194,6,48.0,134,48
9-6-7-12-1172693894,100026,26756,20055,74.96,99.00,24.04,24.04,198,2,54.0,134,54
2-5-6-13-417806506,100010,24833,17915,72.14,99.00,26.86,26.86,198,2,54.0,138,54
8-9-5-10-1231195455,100002,24551,23366,95.17,100.00,4.83,4.83,200,0,39.0,47,39
3-6-5-9-141460796,100008,23503,17532,74.59,99.00,24.41,24.41,198,2,42.0,102,42
8-4-5-13-165749961,100026,23246,14992,64.49,98.00,33.51,33.51,196,4,54.0,114,54
8-4-2-12-256858201,200012,23244,14004,60.25,98.50,38.25,38.25,197,3,54.0,145,54
9-9-5-14-476160617,200007,23023,5149,22.36,14.50,-7.86,7.86,29,171,57.0,132,57
3-6-3-11-368073261,100010,22895,16593,72.47,96.50,24.03,24.03,193,7,54.0,181,54
4-9-6-8-234806128,100009,22656,21481,94.81,100.00,5.19,5.19,200,0,42.0,133,42
3-7-9-9-25160818,200003,22456,18220,81.14,99.50,18.36,18.36,199,1,42.0,122,42
9-2-8-9-964359838,100040,22352,18900,84.56,99.50,14.94,14.94,199,1,48.0,427,48
9-5-1-13-2008390322,200015,22178,13994,63.10,94.50,31.40,31.40,189,11,54.0,269,54
3-8-9-12-1455592508,200004,20968,9977,47.58,84.00,36.42,36.42,168,32,48.0,123,48
8-1-7-10-1616385220,200012,12357,8767,70.95,96.50,25.55,25.55,193,7,54.0,217,54
2-5-1-10-1447252652,100002,12172,10863,89.25,100.00,10.75,10.75,200,0,39.0,71,39
2-5-6-13-1948683737,100010,11982,9100,75.95,100.00,24.05,24.05,200,0,54.0,141,54
7-5-8-9-1207295261,100009,11924,8318,69.76,94.50,24.74,24.74,189,11,42.0,80,42
5-7-9-14-1898185760,200007,11771,9780,83.09,100.00,16.91,16.91,200,0,57.0,181,57
2-2-2-12-1290794734,200004,11649,6625,56.87,81.50,24.63,24.63,163,37,48.0,95,48
1-6-3-8-155844256,100008,11630,11087,95.33,100.00,4.67,4.67,200,0,42.0,176,42
3-6-9-12-1793236849,100010,11608,8857,76.30,100.00,23.70,23.70,200,0,54.0,201,54
8-9-7-9-650494639,200004,11174,9655,86.41,100.00,13.59,13.59,200,0,48.0,151,48
6-5-8-8-2112527324,200003,11155,9468,84.88,100.00,15.12,15.12,200,0,42.0,100,42
9-5-2-8-640786469,100009,11150,9024,80.93,68.00,-12.93,12.93,136,64,42.0,119,42
5-8-9-11-446647845,200003,11138,3117,27.99,58.50,30.51,30.51,117,83,42.0,67,42
8-2-5-13-1898227314,200007,11042,5649,51.16,66.50,15.34,15.34,133,67,57.0,167,57
5-8-3-11-1185362931,100008,11025,8876,80.51,93.00,12.49,12.49,186,14,42.0,77,42
7-7-3-10-1253062599,200015,10958,9066,82.73,99.50,16.77,16.77,199,1,54.0,318,54
9-5-1-13-1977128911,200015,10904,7712,70.73,89.50,18.77,18.77,179,21,54.0,242,54
5-9-6-10-366667489,200012,10883,2062,18.95,33.00,14.05,14.05,66,134,54.0,165,54
4-7-8-8-1175318129,100040,10859,6640,61.15,74.50,13.35,13.35,149,51,48.0,369,48
4-7-8-8-1318715517,100040,10455,6294,60.20,94.50,34.30,34.30,189,11,48.0,383,48
8-4-5-13-1590830761,100026,9854,7571,76.83,99.50,22.67,22.67,199,1,54.0,118,54
8-5-9-14-1720496447,100026,9574,2660,27.78,73.50,45.72,45.72,147,53,54.0,102,54
6-2-6-14-1637285911,200010,9467,1056,11.15,5.50,-5.65,5.65,11,189,57.0,129,57
6-3-5-10-140999069,100002,9378,6631,70.71,86.00,15.29,15.29,172,28,39.0,54,39
5-6-7-8-524450595,100040,9377,6731,71.78,99.50,27.72,27.72,199,1,48.0,330,48
8-3-9-13-598872161,100010,9232,5923,64.16,94.50,30.34,30.34,189,11,54.0,157,54
9-5-9-12-49368688,200007,9028,1300,14.40,23.50,9.10,9.10,47,153,57.0,166,57
2-9-7-11-1102392293,200003,8632,6512,75.44,99.00,23.56,23.56,198,2,42.0,96,42
3-5-7-10-282103655,100008,8590,6107,71.09,99.00,27.91,27.91,198,2,42.0,94,42
5-9-8-11-1550551944,200004,8457,4505,53.27,69.00,15.73,15.73,138,62,48.0,97,48
1-5-9-14-1638733117,200012,8427,4884,57.96,74.00,16.04,16.04,148,52,54.0,210,54
2-5-2-9-373579457,100009,8363,4768,57.01,100.00,42.99,42.99,200,0,42.0,110,42
9-5-5-14-646473892,100026,8262,4592,55.58,93.50,37.92,37.92,187,13,54.0,100,54
2-9-7-10-1324820564,200015,8147,5888,72.27,94.50,22.23,22.23,189,11,54.0,325,54
4-9-6-8-792171460,100009,7216,6810,94.37,100.00,5.63,5.63,200,0,42.0,131,42
3-7-9-9-1592283681,200003,7095,6425,90.56,100.00,9.44,9.44,200,0,42.0,116,42
7-2-1-12-1442763123,200007,7008,6573,93.79,100.00,6.21,6.21,200,0,57.0,259,57
6-6-9-8-904838019,100008,6976,5349,76.68,99.50,22.82,22.82,199,1,42.0,103,42
3-6-9-6-1513937923,100001,6906,6541,94.71,100.00,5.29,5.29,200,0,22.0,46,24
4-9-6-10-1453691158,200012,6879,5456,79.31,100.00,20.69,20.69,200,0,54.0,246,54
9-2-5-12-59138711,100040,6749,4146,61.43,97.00,35.57,35.57,194,6,48.0,241,48
3-2-5-12-611651086,100010,6745,3172,47.03,77.00,29.97,29.97,154,46,54.0,192,54
4-3-3-8-870315622,100040,6548,4750,72.54,99.50,26.96,26.96,199,1,48.0,353,48
3-2-6-11-126216040,200010,6535,3692,56.50,80.00,23.50,23.50,160,40,57.0,245,57
3-9-1-10-201440351,100010,6524,5500,84.30,100.00,15.70,15.70,200,0,54.0,287,54
8-9-1-14-1295604928,100004,6363,4030,63.33,99.50,36.17,36.17,199,1,60.0,213,60
5-5-6-9-1619448877,100002,6307,5730,90.85,100.00,9.15,9.15,200,0,39.0,58,39
9-6-7-14-766835731,200012,6241,1375,22.03,58.50,36.47,36.47,117,83,54.0,112,54
9-9-5-14-1679917473,200007,6192,4017,64.87,93.50,28.63,28.63,187,13,57.0,133,57
5-9-8-11-1258708744,200004,6138,4383,71.41,99.00,27.59,27.59,198,2,48.0,115,48
5-8-2-15-1267562710,200007,6080,869,14.29,12.50,-1.79,1.79,25,175,57.0,103,57
2-9-7-10-2054288810,200003,6018,4803,79.81,98.50,18.69,18.69,197,3,42.0,131,42
2-5-2-9-1598249322,100009,5979,4185,70.00,100.00,30.00,30.00,200,0,42.0,104,42
1-8-9-14-780794592,200015,5967,3790,63.52,98.00,34.48,34.48,196,4,54.0,207,54
4-6-2-15-1465668458,100021,5937,4958,83.51,100.00,16.49,16.49,200,0,72.0,309,72
9-3-1-9-566948559,200012,5747,4751,82.67,100.00,17.33,17.33,200,0,54.0,394,54
9-5-5-14-362185415,100026,5742,2964,51.62,98.50,46.88,46.88,197,3,54.0,128,54
9-5-7-13-1245853386,100026,5704,2050,35.94,61.50,25.56,25.56,123,77,54.0,109,54
2-6-4-11-83536910,100008,5700,4849,85.07,100.00,14.93,14.93,200,0,42.0,95,42
8-5-7-12-936430523,200004,5503,2114,38.42,68.50,30.08,30.08,137,63,48.0,128,48
3-3-4-12-400297177,100010,5198,3251,62.54,100.00,37.46,37.46,200,0,54.0,176,54
5-6-8-10-367995863,200015,5000,3424,68.48,99.00,30.52,30.52,198,2,54.0,204,54
6-5-8-8-2058410677,200003,4945,4252,85.99,100.00,14.01,14.01,200,0,42.0,104,42
3-7-9-6-1500971109,100008,4919,4583,93.17,100.00,6.83,6.83,200,0,42.0,209,42
6-9-7-10-1761701050,100002,4639,3281,70.73,100.00,29.27,29.27,200,0,39.0,52,39
5-2-8-15-1190199891,200007,4522,1535,33.95,99.50,65.55,65.55,199,1,57.0,175,57
4-9-6-8-1858044781,100009,4502,3595,79.85,100.00,20.15,20.15,200,0,42.0,130,42
4-8-8-14-1103592048,200012,4386,2406,54.86,100.00,45.14,45.14,200,0,54.0,109,54
1-8-6-10-1958004206,100040,4327,3587,82.90,100.00,17.10,17.10,200,0,48.0,325,48
5-4-9-12-607524046,200004,4292,3024,70.46,100.00,29.54,29.54,200,0,48.0,166,48
3-8-6-12-1567142398,100010,4146,2594,62.57,99.50,36.93,36.93,199,1,54.0,156,54
3-6-5-7-753462900,200004,4097,3302,80.60,100.00,19.40,19.40,200,0,48.0,220,48
9-9-5-14-2032573128,200007,3982,1743,43.77,91.00,47.23,47.23,182,18,57.0,134,57
8-9-7-9-49335105,200004,3919,3058,78.03,99.50,21.47,21.47,199,1,48.0,136,48
4-1-3-8-171549570,200015,3804,3498,91.96,100.00,8.04,8.04,200,0,54.0,260,54
5-9-6-10-1808414602,200012,3612,1975,54.68,97.00,42.32,42.32,194,6,54.0,155,54
7-2-2-14-1164975412,100034,3515,1845,52.49,87.00,34.51,34.51,174,26,72.0,336,72
6-9-5-12-668183108,100026,3508,1865,53.16,99.50,46.34,46.34,199,1,54.0,149,54
3-3-4-12-1853324629,100010,3386,1963,57.97,97.50,39.53,39.53,195,5,54.0,189,54
9-4-2-11-1636050657,100009,3380,2678,79.23,100.00,20.77,20.77,200,0,42.0,90,42
9-5-9-12-1367215434,200007,3328,1737,52.19,92.50,40.31,40.31,185,15,57.0,172,57
6-5-6-12-1759135965,100026,3313,2114,63.81,99.00,35.19,35.19,198,2,54.0,162,54
7-5-8-9-2037095272,100009,3309,2869,86.70,100.00,13.30,13.30,200,0,42.0,73,42
2-8-9-13-974351898,200012,3294,1282,38.92,71.00,32.08,32.08,142,58,54.0,178,54
6-7-1-14-484149411,100026,3231,1733,53.64,99.50,45.86,45.86,199,1,54.0,223,54
9-5-3-12-529092644,100026,3129,2369,75.71,100.00,24.29,24.29,200,0,54.0,165,54
6-1-7-12-1460536077,200015,3076,2177,70.77,97.50,26.73,26.73,195,5,54.0,361,54
3-7-6-10-1011770516,200003,2887,2178,75.44,97.50,22.06,22.06,195,5,42.0,68,42
2-5-6-13-112814722,100010,2865,1331,46.46,84.00,37.54,37.54,168,32,54.0,141,54
4-8-9-10-449956610,100002,2820,2479,87.91,100.00,12.09,12.09,200,0,39.0,71,39
1-2-4-14-556491290,200010,2786,1583,56.82,78.50,21.68,21.68,157,43,57.0,261,57
8-1-7-10-1113274906,200012,2599,1855,71.37,100.00,28.63,28.63,200,0,54.0,237,54
2-8-1-11-914433613,100008,2584,1983,76.74,100.00,23.26,23.26,200,0,42.0,100,42
4-9-6-8-1331527505,100009,2574,1776,69.00,100.00,31.00,31.00,200,0,42.0,97,42
