关卡牌局代码,地形编号,开始次数,净过关次数,净胜率(%),ReplayCode,模拟胜利,模拟失败,模拟胜率(%),模拟平均步数,耗时ms,地形总牌数
5-2-2-9-56717259,100002,39215,37582,95.84,Y1HntDrKMfF9W+RuBgZGJmZmFlY2ZnZWJg5GBiBk4mBgZ2FjYmBlYOJgY2FnZGJkYGBovwcA,200,0,100.00,39.0,80,39
7-3-7-13-1627787459,200012,34833,21463,61.62,YzHjEbkyu6hX4fN+BkYQYGBiZmFkZWPnYGBlZeRkY2Rg4+BkZ+diZmPhZmfi4GQDirBzcXNxM7GxsTCzszEwCFYBAA==,192,8,96.00,54.0,170,54
5-7-9-14-284673124,200007,34618,30330,87.61,Y7Hkqw061fxM0+woAwMjExMzCysTGzMTAwsbOwcnGzMnFycHExM3Dy8HM5DPzc7MzMHIysPBwc3LxcnDwcnLxcrIwcJwdgoA,200,0,100.00,57.0,166,57
4-3-2-11-894424826,100008,34103,32053,93.99,Y9Hill5it/it5dZKBkYGBgYmBgZmJmYWVjZ2Dk4GRi4gn5GZmZ2DixMoxMrCxcHGCeQynC4DAA==,200,0,100.00,42.0,64,42
5-3-2-8-2055937765,100009,33934,26729,78.77,Y9Hi2H4++ryoVGg2AwMjEwMzIwsrExsTEysLIysbIyMLAwMbCyMDCzsDM1AOKMXOysrOwNDyFQA=,192,8,96.00,42.0,103,42
6-5-8-8-1378250419,200003,33836,29429,86.98,Y9HiMDo2L70p+KILAyMTMwsLCysTGzsTOzMLEzsjOxs7MzMTGxsLEyMDKwuQzQaUZmNgYShWAwA=,200,0,100.00,42.0,100,42
5-9-3-10-474961651,100002,33621,31579,93.93,Y1HntDrKMfF9W+RuBkYGJmYWFkZWNnZmZkZGDkYOZqAQGzsrEyMLIxM7KxuQxwwUm/UfAA==,200,0,100.00,39.0,67,39
3-8-9-12-73570277,200004,33142,25011,75.47,BcG5EYAADAOwPI7jcAcNM9AzCFtRMyANsyDhXL5j3Z/73cwjkSg2Zd1pIAMjjdhFb4JCpiaynWVX/Q==,199,1,99.50,48.0,131,48
3-6-3-11-1506752473,100010,32719,21741,66.45,DcaxDYAwDARAv/8dx2EfJAahZxcqJCahZg8mYQe46jRP23Lu97UeBqcYaEyii5mo+j+AVLdqyBEoF+XFNiCr6PY+Hw==,195,5,97.50,54.0,173,54
2-5-7-12-20644418,100026,32706,27179,83.1,YzHjlshXea937WM1AyMTMwsrExsjOxM7MwcTGycHGyMbJwMnGycnExszIzsDIwtQjIuVjYMTiFi5uDg4WRiZGBbdBQA=,200,0,100.00,54.0,189,54
7-7-3-10-1569851149,200015,31924,29921,93.73,DcmxDYBADANAO877P0xBh4REi0RDzTgMw2gMBNde7tNyPe99bitABikxsoFhKgx1j6EQqvo/aoPuaWezbBSO+QM=,200,0,100.00,54.0,387,54
3-1-4-7-63798979,100040,29441,27411,93.1,YzFgv+di6v+6dHMsAyMDIxMTAzMQMLKwsrExswJZrGwsLGyMrGzMDAzMbKyMTCBFQHkgxcrgmQwA,200,0,100.00,48.0,547,48
5-2-8-6-1618774090,100040,28978,26074,89.98,YzFgu+di6v+6dHMsAwMDIxMzCysTMxMjExAwMzMxMAApIAQhVmZmZkZGBkYWBlZmBhZmBkaG0LMA,200,0,100.00,48.0,441,48
9-5-9-12-852990572,200007,28915,20595,71.23,DchLDYBADAXA9vXfxcgaIEEFCX44oY0LQtABcxzdlvN4rneuNzFExeAKC1hGCbK6VGpkQrrNYATOLvHR3v8HiGnuHw==,149,51,74.50,57.0,178,57
